Municipio,Codigo,Prefeito,Area Territorial,Populacao no ultimo censo pessoas,Densidade demografica,Populacao estimada pessoas,Total de receitas brutas realizadas,Total de despesas brutas empenhadas,PIB per capita
Acorizal,5100102,DIEGO EWERTON FIGUEIREDO TAQUES,850763,5014,5.89,4990,46109959.57,44171408.23,20561.61
Água Boa,5100201,MARIANO KOLANKIEWICZ FILHO,7549308,29219,3.87,31314,286870969.12,270313137.9,74990.39
Alta Floresta,5100250,VALDEMAR GAMBA,8955.41,58613,6.54,61291,331802521.4,306044984.3,40531.28
Alto Araguaia,5100300,JACSON MARLON NIEDERMEIER,5317513,17193,3.18,17657,163057941.02,162126264.8,59497.11
Alto Boa Vista,5100359,JOSÉ PEREIRA MARANHÃO,2248414,5715,2.54,5875,50879572.41,44407392.6,37231.59
Alto Garças,5100409,CEZALPINO MENDES TEIXEIRA JUNIOR,3857559,13052,3.38,13707,97783547.03,108324874,97187.86
Alto Paraguai,5100508,ADAIR JOSE ALVES MOREIRA,1847354,8009,4.34,7717,57816632.9,66780777.78,14382.3
Alto Taquari,5100607,MARILDA GAROFOLO SPERANDIO,1521377,10904,7.59,11571,115483923.1,103869044.3,113538.74
Apiacás,5100805,JULIO CESAR DOS SANTOS,20489024,8590,0.42,8692,79415069.58,85139293.57,22418.58
Araguaiana,5101001,JOSE MARRA NERY,6380.7,3795,0.59,3950,50254623.37,43975761.93,41316.47
Araguainha,5101209,FRANCISCO GONÇALVES NAVES,675231,1010,1.5,1006,31631280.27,25846616.59,30845.7
Araputanga,5101258,ENILSON DE ARAUJO RIOS,1639733,14786,9.02,14854,100153408.42,95957375.77,38361.43
Arenápolis,5101308,EDERSON FIGUEIREDO,417337,10576,25.34,10747,68885715.68,59437002.79,24711.43
Aripuanã,5101407,SELUIR PEIXER REGHIN,24678135,24626,1,26010,210542632.57,207391907.7,62691.39
Barão de Melgaço,5101605,MARGARETH GONÇALVES DA SILVA,11374872,7253,0.64,7204,43253891.61,43859262.23,15262.65
Barra do Bugres,5101704,MARIA AZENILDA PEREIRA,5976865,29403,4.92,29576,211450706.49,189499332.3,44018.43
Barra do Garças,5101803,ADILSON GONÇALVES DE MACEDO,8362915,69210,8.28,72694,385068345.89,379410120.7,41607.18
Boa Esperança do Norte,5101837,-,4704488,-,-,-,-,-,-
Bom Jesus do Araguaia,5101852,MARCILEI ALVES DE OLIVEIRA,4266636,7280,1.71,7731,73000974.39,60239841.73,112613.63
Brasnorte,5101902,EDELO MARCELO FERRARI,15968355,17004,1.06,17496,166768706.69,155808599,101462.2
Cáceres,5102504,ANTÔNIA ELIENE LIBERATO DIAS,24499922,89681,3.66,91626,403645190.62,438136155.5,23753.91
Campinápolis,5102603,JEOVAN FARIA,5978985,15347,2.57,15713,112456530.55,101336083.3,26958.25
Campo Novo do Parecis,5102637,EDILSON ANTONIO PIAIA,9428585,45899,4.87,50033,411890796.87,384363070.2,187188.91
Campo Verde,5102678,ALEXANDRE LOPES DE OLIVEIRA,4771091,44585,9.35,47831,405301480.93,364830081.6,113394.08
Campos de Júlio,5102686,IRINEU MARCOS PARMEGGIANI,6792808,8822,1.3,9608,124625553.77,108035274.5,455838.1
Canabrava do Norte,5102694,NEUILSON DA SILVA LIMA,3449037,4485,1.3,4480,52035316.29,43259632.62,56716.7
Canarana,5102702,VILSON BIGUELINI,10855181,25858,2.38,27657,252104177.39,230911227.1,132641.17
Carlinda,5102793,FERNANDO DE OLIVEIRA RIBEIRO,2421788,10332,4.27,10324,67579418.47,60082954.07,29658.71
Castanheira,5102850,JAKSON DE OLIVEIRA RIOS JUNIOR,3713466,7506,2.02,7459,55167624.34,51857055.86,24494.82
Chapada dos Guimarães,5103007,OSMAR FRONER DE MELLO,6603252,18990,2.88,19374,158906198.05,157563504.6,53931.12
Cláudia,5103056,MARCOS FERNANDO FELDHAUS,3843561,9593,2.5,9436,96802510.25,88496231.21,86593.96
Cocalinho,5103106,MÁRCIO CONCEIÇÃO NUNES DE AGUIAR,16563136,6220,0.38,6428,69071754.69,67716949.93,52079.24
Colíder,5103205,RODRIGO LUIZ BENASSI,3112091,31370,10.08,32010,170040850.63,166793801.5,37495.61
Colniza,5103254,MILTON DE SOUZA AMORIM,27960237,25766,0.92,26090,169596421.43,153450169.8,20651.18
Comodoro,5103304,ROGERIO VILELA VICTOR DE OLIVEIRA,21485018,18238,0.85,18461,152338537.98,131515038.5,59213.23
Confresa,5103353,RICARDO ALOISIO BABINSKI,5802303,35075,6.05,37541,213446449.17,195365630.7,47721.27
Conquista D'Oeste,5103361,ODAIR JOSE VARGAS,2684676,3760,1.4,3874,52756080.87,49828444.34,34399.39
